"Twn Num","Twn Dir","Rng Num","Rng Dir","Sec","Quarter","Lib Num","API Num","Operator","Well Name","Field","Type","State","County","Photos","Thin Sec","Analysis","Latitude","Longitude","Source","Security Flag","Formation","Age","Min Depth","Max Depth"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2696","2703"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2708","2710"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2752","2762"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2767","2773"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2806","2813"
"28","N","113","W","22","SWNE","R780","4903505742","BELCO PETROLEUM","C-47  TIP TOP SHALLOW","TIP TOP SHALLOW","FULL","WY","SUBLETTE","F","F","T","42.40052","-110.24697","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MESAVERDE","CRET","2817","2853"
"19","N","52","W","2","CNENW","R783","2612305414","TEXOTA OIL COMPANY","1 NERUD INC","DUNLAP W.",,"NE","MORRILL","F","F","F","41.654402","-103.28443","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA D","CRET","4333","4379"
"47","N","91","W","12","NWSE","E628","4904320783","BASS ENTERPRISES","8X COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05759","-107.7151","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6717","6724"
"47","N","90","W","17","SENW","E630","4904320741","BASS ENTERPRISES","215 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04744","-107.67833","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5639","5688"
"47","N","90","W","9","SWSW","E631","4904320740","BASS ENTERPRISES","219 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05321","-107.66456","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5248","5287"
